2023-11-11 00:03:35.621 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1636a6de, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@65cd1392, org.springframework.security.web.context.SecurityContextPersistenceFilter@3ea122ac, org.springframework.security.web.header.HeaderWriterFilter@179715a6, org.springframework.security.web.authentication.logout.LogoutFilter@3dce586b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5bb507a5, org.springframework.security.web.session.ConcurrentSessionFilter@1b154459, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3c7ae92e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@409de41e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@d509baa, org.springframework.security.web.session.SessionManagementFilter@20940d04, org.springframework.security.web.access.ExceptionTranslationFilter@cd3691a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@23438546]
2023-11-11 00:03:35.782 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-11 00:03:35.805 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-11 00:03:35.825 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-11 00:03:35.839 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Started Test06Application in 3.095 seconds (JVM running for 3.986)
2023-11-11 00:04:09.024 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-11 00:04:09.025 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-11 00:04:09.028 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 3 ms
2023-11-11 00:04:09.094 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-11 00:04:09.158 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-11 01:03:45.739 WARN  [HikariPool-1 housekeeper] [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=57m36s463ms).
2023-11-11 01:33:06.409 WARN  [HikariPool-1 housekeeper] [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=29m20s672ms).
2023-11-11 01:35:54.355 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-11 01:35:54.367 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-11 18:47:20.749 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Starting Test06Application using Java 17.0.8 on 192.168.nate.com with PID 3817 (/Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/LegoNego_Proj05/build/classes/java/main started by otaehun in /Users/otaehun/Desktop/chunjae_pro/5차 개인 프로젝트/LegoNego_Proj05)
2023-11-11 18:47:20.750 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - No active profile set, falling back to 1 default profile: "default"
